Player Name,Year,Salary
DeShawn Stevenson,2001,828120.0
John Crotty,2001,800000.0
Mahmoud Abdul-Rauf,2001,798500.0
Dalibor Bagaric,2001,795000.0
Sam Jacobson,2001,768500.0
Iakovos Tsakalidis,2001,763200.0
Corey Benjamin,2001,749160.0
Vladimir Stepania,2001,749160.0
Nazr Mohammed,2001,739080.0
Mamadou N'diaye,2001,737880.0
Isaiah Rider,2001,736000.0
Todd Day,2001,736000.0
David Benoit,2001,736000.0
Bruce Bowen,2001,733000.0
Erick Barkley,2001,712200.0
Damon Jones,2001,710000.0
Mark Madsen,2001,707040.0
Reggie Slater,2001,673500.0
Darrick Martin,2001,673500.0
Larry Robinson,2001,611000.0
Todd Fuller,2001,611000.0
Don Reid,2001,611000.0
Antonio Harvey,2001,611000.0
Emanual Davis,2001,610000.0
Eddie Robinson,2001,600000.0
John Amaechi,2001,600000.0
Shammond Williams,2001,550000.0
Doug Overton,2001,548500.0
Shawnelle Scott,2001,548500.0
Rick Brunson,2001,539500.0
Kevin Ollie,2001,523500.0
Moochie Norris,2001,523500.0
Tyus Edney,2001,523500.0
Jeff McInnis,2001,523500.0
Etdrick Bohannon,2001,523500.0
Troy Hudson,2001,523500.0
Roy Rogers,2001,523500.0
Ryan Bowen,2001,510000.0
Ansu Sesay,2001,508000.0
Laron Profit,2001,508000.0
Adrian Griffin,2001,498500.0
Earl Boykins,2001,498500.0
William Cunningham,2001,498500.0
Mark Pope,2001,498500.0
Andrae Patterson,2001,498500.0
Kornel David,2001,498500.0
Gerard King,2001,489500.0
Leon Smith,2001,483680.0
Michael Ruffin,2001,440000.0
Evan Eschmeyer,2001,423500.0
Rodney Buford,2001,423500.0
Michael Hawkins,2001,423500.0
Lari Ketner,2001,423500.0
Maceo Baston,2001,423500.0
Jonathan Kerner,2001,423500.0
Lazaro Borrell,2001,423500.0
Jermaine Jackson,2001,423500.0
Todd MacCulloch,2001,423500.0
Derrick Dial,2001,423500.0
Calvin Booth,2001,423500.0
Obinna Ekezie,2001,423500.0
Hanno Mottola,2001,316969.0
Mark Blount,2001,316969.0
Milt Palacio,2001,316969.0
Chris Herren,2001,316969.0
Soumaila Samake,2001,316969.0
Stephen Jackson,2001,316969.0
Lee Nailon,2001,316969.0
Terrance Roberson,2001,316969.0
AJ Guyton,2001,316969.0
Jake Voskuhl,2001,316969.0
Khalid El-Amin,2001,316969.0
Eduardo Najera,2001,316969.0
Brian Cardinal,2001,316969.0
Torraye Braggs,2001,316969.0
Marc Jackson,2001,316969.0
Chris Porter,2001,316969.0
Dan Langhi,2001,316969.0
Zendon Hamilton,2001,316969.0
Stanislav Medvedenko,2001,316969.0
Mike Penberthy,2001,316969.0
Eddie House,2001,316969.0
Jason Hart,2001,316969.0
Michael Redd,2001,316969.0
Lavor Postell,2001,316969.0
Pete Mickeal,2001,316969.0
