,Player Code,Draft Number Picked,Draft Year,Player Name,College Name,Seasons in NBA
192,bayleje01,11,2008,Jerryd Bayless,Arizona,11.0
193,thompja02,12,2008,Jason Thompson,Rider University,8.0
194,rushbr01,13,2008,Brandon Rush,Kansas,9.0
195,randoan01,14,2008,Anthony Randolph,LSU,6.0
196,griffbl01,1,2009,Blake Griffin,Oklahoma,10.0
197,thabeha01,2,2009,Hasheem Thabeet,UConn,5.0
198,hardeja01,3,2009,James Harden,Arizona State,11.0
199,evansty01,4,2009,Tyreke Evans,Memphis,10.0
200,rubiori01,5,2009,Ricky Rubio,,9.0
201,flynnjo01,6,2009,Jonny Flynn,Syracuse,3.0
202,curryst01,7,2009,Stephen Curry,Davidson,11.0
203,hilljo01,8,2009,Jordan Hill,Arizona,8.0
204,derozde01,9,2009,DeMar DeRozan,USC,11.0
205,jennibr01,10,2009,Brandon Jennings,,9.0
206,willite01,11,2009,Terrence Williams,Louisville,4.0
207,hendege02,12,2009,Gerald Henderson,Duke,8.0
208,hansbty01,13,2009,Tyler Hansbrough,UNC,7.0
209,clarkea01,14,2009,Earl Clark,Louisville,6.0
210,walljo01,1,2010,John Wall,Kentucky,9.0
211,turneev01,2,2010,Evan Turner,Ohio State,10.0
212,favorde01,3,2010,Derrick Favors,Georgia Tech,10.0
213,johnswe01,4,2010,Wesley Johnson,Syracuse,9.0
214,couside01,5,2010,DeMarcus Cousins,Kentucky,9.0
215,udohek01,6,2010,Ekpe Udoh,Baylor,7.0
216,monrogr01,7,2010,Greg Monroe,Georgetown,9.0
217,aminual01,8,2010,Al-Farouq Aminu,Wake Forest,10.0
218,haywago01,9,2010,Gordon Hayward,Butler,10.0
219,georgpa01,10,2010,Paul George,Fresno State,10.0
220,aldrico01,11,2010,Cole Aldrich,Kansas,8.0
221,henryxa01,12,2010,Xavier Henry,Kansas,5.0
222,davised01,13,2010,Ed Davis,UNC,10.0
223,pattepa01,14,2010,Patrick Patterson,Kentucky,10.0
224,irvinky01,1,2011,Kyrie Irving,Duke,9.0
225,willide02,2,2011,Derrick Williams,Arizona,7.0
226,kanteen01,3,2011,Enes Kanter,,9.0
227,thomptr01,4,2011,Tristan Thompson,Texas,9.0
228,valanjo01,5,2011,Jonas Valančiūnas,,8.0
229,veselja01,6,2011,Jan Veselý,,3.0
230,biyombi01,7,2011,Bismack Biyombo,,9.0
231,knighbr03,8,2011,Brandon Knight,Kentucky,8.0
232,walkeke02,9,2011,Kemba Walker,UConn,9.0
233,fredeji01,10,2011,Jimmer Fredette,BYU,6.0
234,thompkl01,11,2011,Klay Thompson,Washington State,8.0
235,burksal01,12,2011,Alec Burks,Colorado,9.0
236,morrima02,13,2011,Markieff Morris,Kansas,9.0
237,morrima03,14,2011,Marcus Morris,Kansas,9.0
238,davisan02,1,2012,Anthony Davis,Kentucky,8.0
239,kiddgmi01,2,2012,Michael Kidd-Gilchrist,Kentucky,8.0
240,bealbr01,3,2012,Bradley Beal,Florida,8.0
241,waitedi01,4,2012,Dion Waiters,Syracuse,8.0
242,robinth01,5,2012,Thomas Robinson,Kansas,5.0
