,Player Name,Seasons in NBA,First Season Played,Last Season Played
2050,Don Carlson,4,1947,1951
2051,John Clawson,1,1969,1969
2052,Amir Coffey,3,2020,2022
2053,Ben Coleman,5,1987,1994
2054,Tom Copa,1,1992,1992
2055,Khalid El-Amin,1,2001,2001
2056,Don Eliason,1,1947,1947
2057,Chris Engler,5,1983,1988
2058,Jim Fritsche,2,1954,1955
2059,Dick Garmaker,6,1956,1961
2060,Devean George,11,2000,2010
2061,Freddie Gillespie,2,2021,2022
2062,Kleggie Hermsen,6,1947,1953
2063,Johnny Horan,1,1956,1956
2064,Kris Humphries,13,2005,2017
2065,Joe Hutton,2,1951,1952
2066,Sam Jacobson,3,1999,2001
2067,Tony Jaros,4,1947,1951
2068,Arnie Johnson,5,1949,1953
2069,Tre Jones,2,2021,2022
2070,Tyus Jones,7,2016,2022
2071,Alec Kessler,4,1991,1994
2072,Arvid Kramer,1,1980,1980
2073,Jeff Lamp,6,1982,1989
2074,Jon Leuer,8,2012,2019
2075,Zach Lofton,1,2019,2019
2076,Brad Lohaus,11,1988,1998
2077,Kevin Lynch,2,1992,1993
2078,J.P. Macura,2,2019,2020
2079,Bob Martin,2,1994,1995
2080,Kevin McHale,13,1981,1993
2081,Kevin McKenna,6,1982,1988
2082,Larry Mikan,1,1971,1971
2083,Ade Murkey,1,2022,2022
2084,Mike Muscala,9,2014,2022
2085,Zeke Nnaji,2,2021,2022
2086,Jeff Nordgaard,1,1998,1998
2087,Johnny Norlander,5,1947,1951
2088,Mark Olberding,12,1976,1987
2089,Jim Petersen,8,1985,1992
2090,Mel Peterson,4,1964,1970
2091,John Pritchard,1,1950,1950
2092,Joel Przybilla,13,2001,2013
2093,Mark Randall,4,1992,1995
2094,Howie Schultz,3,1950,1953
2095,Rollie Seltz,1,1950,1950
2096,Jericho Sims,1,2022,2022
2097,Whitey Skoog,6,1952,1957
2098,Don Smith,1,1949,1949
2099,Jalen Suggs,1,2022,2022
2100,Tyrell Terry,2,2021,2022
2101,John Thomas,5,1998,2006
2102,Rashad Vaughn,3,2016,2018
2103,Clint Wager,1,1950,1950
2104,Matt Wenstrom,1,1994,1994
2105,Royce White,1,2014,2014
2106,Trevor Winter,1,1999,1999
2107,Nate Wolters,3,2014,2018
2108,McKinley Wright IV,1,2022,2022
2109,Mahmoud Abdul-Rauf,9,1991,2001
2110,Earl Barron,8,2006,2015
2111,Billy Ray Bates,4,1980,1983
2112,Jonathan Bender,8,2000,2010
2113,Melvin Booker,2,1996,1997
2114,Tommie Bowens,3,1968,1970
2115,Alonzo Bradley,3,1978,1980
2116,Dee Brown,2,2007,2009
2117,Rickey Brown,5,1981,1985
2118,Shaq Buchanan,1,2022,2022
2119,Cleveland Buckner,2,1962,1963
2120,Jackie Butler,3,2005,2007
2121,Isaiah Canaan,6,2014,2019
2122,Maurice Carter,1,2004,2004
2123,Cornelius Cash,1,1977,1977
2124,Harvey Catchings,11,1975,1985
2125,Terry Catledge,8,1986,1993
2126,E.C. Coleman,6,1974,1979
2127,Joe Courtney,4,1993,1997
2128,Erick Dampier,16,1997,2012
2129,Ollie Darden,3,1968,1970
2130,Terence Davis,3,2020,2022
2131,Archie Dees,4,1959,1962
2132,Ronald Dupree,6,2004,2011
2133,Keith Edmonson,2,1983,1984
2134,Monta Ellis,12,2006,2017
2135,Drew Eubanks,4,2019,2022
2136,Alphonso Ford,2,1994,1995
2137,Rowland Garrett,5,1973,1977
2138,Gerald Glass,4,1991,1996
2139,Lancaster Gordon,4,1985,1988
2140,Litterial Green,5,1993,1999
2141,Mike Green,7,1974,1980
2142,Tang Hamilton,1,2002,2002
2143,Ira Harge,6,1968,1973
2144,Othella Harrington,12,1997,2008
2145,Antonio Harvey,8,1994,2003
2146,Spencer Haywood,13,1970,1983
2147,Rodney Hood,8,2015,2022
2148,Eddie Hughes,3,1988,1990
2149,Lindsey Hunter,17,1994,2010
2150,Wardell Jackson,1,1975,1975
2151,Al Jefferson,14,2005,2018
2152,Clay Johnson,3,1982,1984
2153,George Johnson,13,1973,1986
2154,John Johnson,12,1971,1982
2155,Trey Johnson,3,2009,2012
2156,Charles Jones,4,1985,1989
2157,Arvesta Kelly,5,1968,1972
2158,Randolph Keys,5,1989,1996
2159,Sam Lacey,13,1971,1983
2160,Wendell Ladner,5,1971,1975
2161,Ronnie Lester,6,1981,1986
2162,Danny Manning,15,1989,2003
2163,Ed Manning,9,1968,1976
2164,Antonio McDyess,15,1996,2011
2165,Derrick McKey,15,1988,2002
2166,Cliff Meely,5,1972,1976
2167,Dewitt Menyard,1,1968,1968
2168,Dave Minor,2,1952,1953
2169,Leland Mitchell,1,1968,1968
2170,Dyron Nix,1,1990,1990
2171,Audie Norris,3,1983,1985
2172,Sylvester Norris,1,1980,1980
2173,Willie Norwood,7,1972,1978
2174,Johnny O'Bryant,4,2015,2018
2175,Travis Outlaw,11,2004,2014
2176,Kenny Payne,4,1990,1993
2177,Reggie Perry,2,2021,2022
2178,Michael Phelps,3,1986,1988
2179,Bob Quick,4,1969,1972
2180,Mike Ratliff,2,1973,1974
2181,Justin Reed,3,2005,2007
2182,James Robinson,7,1994,2001
2183,Gene Short,1,1976,1976
2184,Purvis Short,12,1979,1990
2185,John Smith,2,1969,1970
2186,Larry Smith,13,1981,1993
2187,John Stroud,1,1981,1981
2188,Sedric Toney,5,1986,1994
2189,Chet Walker,13,1963,1975
2190,Henry Ward,2,1976,1977
2191,Jim Ware,3,1967,1969
2192,Cornell Warner,7,1971,1977
2193,Eric Washington,2,1998,1999
2194,Slick Watts,6,1974,1979
2195,Clarence Weatherspoon,13,1993,2005
2196,Nick Weatherspoon,7,1974,1980
2197,Quinndary Weatherspoon,3,2020,2022
2198,Dwayne Whitfield,1,1996,1996
2199,Mo Williams,13,2004,2016
2200,George Wilson,7,1965,1971
2201,Robert Woodard II,2,2021,2022
2202,Blake Ahearn,3,2008,2012
2203,Matthew Aitch,1,1968,1968
2204,Kim Anderson,1,1979,1979
2205,Don Anielak,1,1955,1955
2206,Bradley Beal,10,2013,2022
2207,Gary Bergen,1,1957,1957
2208,Anthony Bonner,6,1991,1996
2209,Bill Bradley,10,1968,1977
2210,Alec Burks,11,2012,2022
2211,Chris Carr,6,1996,2001
2212,Jay Carty,1,1969,1969
2213,Tyler Cook,3,2020,2022
2214,Don Dee,1,1969,1969
2215,Bob Ferry,10,1960,1969
2216,Jerry Fowler,1,1952,1952
2217,Hiram Fuller,1,2004,2004
2218,Bill Garnett,4,1983,1986
2219,Ben Hansbrough,1,2013,2013
2220,Tyler Hansbrough,7,2010,2016
2221,Josh Harrellson,3,2012,2014
2222,Steve Harris,5,1986,1990
2223,Shaquille Harrison,5,2018,2022
2224,Malcolm Hill,1,2022,2022
2225,Derek Hood,1,2000,2000
2226,Larry Hughes,13,1999,2012
2227,Robin Jones,2,1977,1978
2228,Jim Krebs,7,1958,1964
2229,David Lee,12,2006,2017
2230,Saben Lee,2,2021,2022
2231,Leary Lentz,2,1968,1969
2232,Tyronn Lue,11,1999,2009
2233,Ed Macauley,10,1950,1959
2234,Cuonzo Martin,2,1996,1997
2235,Don Martin,3,1947,1949
2236,Patrick McCaw,5,2017,2021
2237,Ben McLemore,9,2014,2022
2238,Jay Miller,4,1968,1971
2239,Gene Moore,7,1969,1975
2240,Juwan Morgan,3,2020,2022
2241,Ivano Newbill,3,1995,1998
2242,Rich Niemann,4,1969,1972
2243,Bevo Nordmann,4,1962,1965
2244,Barry Orms,2,1969,1970
2245,Anthony Peeler,13,1993,2005
2246,Jontay Porter,1,2021,2021
2247,Michael Porter Jr.,3,2020,2022
2248,Otto Porter Jr.,9,2014,2022
2249,Willie Reed,3,2016,2018
2250,Gene Rhodes,1,1953,1953
2251,Jeremiah Robinson-Earl,1,2022,2022
2252,Marshall Rogers,1,1977,1977
2253,Kenny Rollins,3,1949,1953
2254,Dick Rosenthal,2,1955,1957
2255,Giff Roux,3,1947,1949
2256,Brandon Rush,9,2009,2017
2257,Kareem Rush,7,2003,2010
2258,Marv Schatzman,1,1950,1950
2259,Lester Selvage,2,1968,1970
2260,Landry Shamet,4,2019,2022
2261,Scott Sims,1,1978,1978
2262,Xavier Sneed,1,2022,2022
2263,Norm Stewart,1,1957,1957
2264,Steve Stipanovich,5,1984,1988
2265,Jayson Tatum,5,2018,2022
2266,David Thirdkill,5,1983,1987
2267,Malcolm Thomas,4,2012,2015
2268,Anthony Tolliver,13,2009,2021
2269,Dean Tolson,3,1975,1978
2270,Ish Wainright,1,2022,2022
2271,Jahidi White,7,1999,2005
2272,Jo Jo White,12,1970,1981
2273,Win Wilfong,4,1958,1961
2274,Lee Winfield,7,1970,1976
2275,Loren Woods,6,2002,2008
2276,Jack Cotton,1,1950,1950
2277,Jim Creighton,1,1976,1976
2278,Brad Holland,3,1980,1982
2279,Phil Jackson,12,1968,1980
2280,Ed Kalafat,3,1955,1957
2281,Coby Karl,2,2008,2010
2282,Larry Krystkowiak,9,1987,1997
2283,Ray Kuka,2,1948,1949
2284,Mike Lewis,6,1969,1974
2285,Adam Morrison,3,2007,2010
2286,Keith Tower,4,1994,1997
2287,Bob Boozer,11,1961,1971
2288,Leon Brown,1,1947,1947
2289,Chuck Gardner,1,1968,1968
2290,Mike Higgins,2,1990,1991
2291,Fred Hoiberg,10,1996,2005
2292,Dave Hoppen,6,1988,1993
2293,Rich King,4,1992,1995
2294,Bart Kofoed,5,1988,1993
2295,Tom Kropp,2,1976,1977
2296,Justin Patton,4,2018,2021
2297,Mark Pope,6,1998,2005
2298,Kenny Sailors,5,1947,1951
2299,Alex Stivrins,2,1986,1993
2300,Khyri Thomas,3,2019,2021
2301,JT Thor,1,2022,2022
2302,Rex Walters,7,1994,2000
2303,Greg Anthony,11,1992,2002
2304,Marcus Banks,8,2004,2011
2305,Tyler Bey,1,2021,2021
2306,Troy Brown Jr.,4,2019,2022
2307,Zach Collins,4,2018,2022
2308,Ricky Davis,12,1999,2010
2309,Carrick Felix,1,2014,2014
2310,Pat Garrity,10,1999,2008
2311,Darington Hobson,1,2012,2012
2312,Pierre Jackson,1,2017,2017
2313,Willie Smith,4,1977,1980
2314,C.J. Watson,10,2008,2017
2315,Matt Bonner,12,2005,2016
2316,Rafael Addison,6,1987,1997
2317,Bam Adebayo,5,2018,2022
2318,Malik Allen,10,2002,2011
2319,Kyle Anderson,8,2015,2022
2320,Al Attles,11,1961,1971
2321,Wade Baldwin,3,2017,2019
2322,Rick Barry,14,1966,1980
2323,Ed Beach,1,1951,1951
2324,Spider Bennett,1,1969,1969
2325,Mike Bibby,14,1999,2012
2326,Alex Blackwell,1,1993,1993
2327,George Blaney,1,1962,1962
2328,Jake Bornheimer,2,1949,1950
2329,Ira Bowman,3,2000,2002
2330,Marques Bragg,1,1996,1996
2331,Isaiah Briscoe,1,2019,2019
2332,Gary Brokaw,4,1975,1978
2333,MarShon Brooks,5,2012,2019
2334,Mike Brown,11,1987,1997
2335,Jalen Brunson,4,2019,2022
2336,Mark Bryant,15,1989,2003
2337,Dave Budd,5,1961,1965
2338,Walt Budko,4,1949,1952
2339,Andrew Bynum,8,2006,2014
2340,Tommy Byrnes,5,1947,1951
2341,Gerry Calabrese,2,1951,1952
2342,Tony Campbell,11,1985,1995
2343,Derrick Caracter,1,2011,2011
2344,Rakeem Christmas,2,2016,2017
2345,Earl Clark,6,2010,2015
2346,Charles Cooke,1,2018,2018
2347,Sharife Cooper,1,2022,2022
2348,Chris Copeland,4,2013,2016
2349,Hollis Copeland,2,1980,1982
2350,Joe Crispin,1,2002,2002
2351,John Crotty,11,1993,2003
2352,Brian Davis,1,1994,1994
2353,Warren Davis,6,1968,1973
2354,Corky Devlin,3,1956,1958
2355,Harry Donovan,1,1950,1950
2356,Kenneth Faried,8,2012,2019
2357,Hank Finkel,9,1967,1975
2358,Chris Ford,10,1973,1982
2359,Jimmy Foster,2,1975,1976
2360,Randy Foye,11,2007,2017
2361,Gary Garland,1,1980,1980
2362,Chris Gatling,11,1992,2002
2363,Reggie Geary,2,1997,1998
2364,Tate George,4,1991,1995
2365,Gerald Govan,9,1968,1976
2366,Greg Grant,6,1990,1996
2367,Bob Greacen,3,1970,1972
2368,Mike Grosso,1,1972,1972
2369,Al Harrington,16,1999,2014
2370,Tom Heinsohn,9,1957,1965
2371,Gerald Henderson,8,2010,2017
2372,Jack Hewson,1,1948,1948
2373,Nat Hickey,1,1948,1948
2374,Cleo Hill,1,1962,1962
2375,Art Hillhouse,2,1947,1948
2376,Roy Hinson,8,1984,1991
2377,Dennis Horner,1,2012,2012
2378,Markus Howard,2,2021,2022
2379,Bobby Hurley,5,1994,1998
2380,Jaren Jackson Jr.,4,2019,2022
2381,Howie Janotta,1,1950,1950
2382,Horace Jenkins,1,2005,2005
2383,Dahntay Jones,13,2004,2017
2384,Mike Kearns,1,1955,1955
2385,Gary Keller,2,1968,1969
2386,Jerry Kelly,2,1947,1948
2387,Tom Kerwin,1,1968,1968
2388,Jack Kiley,2,1952,1953
2389,Chad Kinch,1,1981,1981
2390,Louis King,3,2020,2022
2391,Brandin Knight,1,2005,2005
2392,Brevin Knight,12,1998,2009
2393,Andy Kostecka,1,1949,1949
2394,Herb Krautblatt,1,1949,1949
2395,Mo Layton,5,1972,1978
2396,George Lehmann,7,1968,1974
2397,John Mahnken,7,1947,1953
2398,Naji Marshall,2,2021,2022
2399,Bob McCann,5,1990,1998
2400,Bucky McConnell,1,1953,1953
2401,Forrest McKenzie,1,1987,1987
2402,Roshown McLeod,3,1999,2001
2403,Gary Melchionni,2,1974,1975
2404,Glenn Mosley,2,1978,1979
2405,Xavier Munford,2,2016,2018
2406,Eric Murdock,9,1992,2000
2407,Troy Murphy,12,2002,2013
2408,Ken Murray,3,1951,1955
2409,Cotton Nash,2,1965,1968
2410,Tommy O'Keefe,1,1951,1951
2411,Mike O'Koren,8,1981,1988
2412,Shaquille O'Neal,19,1993,2011
2413,Joe Pace,2,1977,1978
2414,Togo Palazzi,6,1955,1960
2415,Billy Paultz,15,1971,1985
2416,Aulcie Perry,1,1975,1975
2417,Tim Perry,8,1989,1996
2418,Kasib Powell,1,2008,2008
2419,Myles Powell,1,2022,2022
2420,A.J. Price,6,2010,2015
2421,Ray Radziszewski,1,1958,1958
2422,Davon Reed,3,2018,2022
2423,Richie Regan,3,1956,1958
2424,Naz Reid,3,2020,2022
2425,Rodrick Rhodes,3,1998,2000
2426,Malachi Richardson,3,2017,2019
2427,David Rivers,3,1989,1992
2428,Dennis Rodman,14,1987,2000
2429,Lou Roe,2,1996,1997
2430,Brian Rowsom,3,1988,1990
2431,Pep Saul,6,1950,1955
2432,Ben Scharnus,2,1947,1949
2433,Herb Scherer,2,1951,1952
2434,James Scott,1,1997,1997
2435,Connie Simmons,10,1947,1956
2436,Chris Smith,1,2014,2014
2437,J.R. Smith,16,2005,2020
2438,Jim Spanarkel,5,1980,1984
2439,Dick Surhoff,2,1953,1954
2440,Brian Taylor,10,1973,1982
2441,Tyshawn Taylor,2,2013,2014
2442,Tim Thomas,13,1998,2010
2443,Billy Thompson,6,1987,1992
2444,Jason Thompson,8,2009,2016
2445,Karl-Anthony Towns,7,2016,2022
2446,Kelly Tripucka,10,1982,1991
2447,Butch van Breda Kolff,4,1947,1950
2448,Bob Verga,6,1968,1974
2449,Dajuan Wagner,4,2003,2007
2450,Milt Wagner,2,1988,1991
2451,Jameel Warney,1,2018,2018
2452,Darryl Watkins,2,2008,2012
2453,Elnardo Webster,1,1972,1972
2454,David West,15,2004,2018
2455,Clinton Wheeler,2,1988,1989
2456,Eric Williams,12,1996,2007
2457,Jay Williams,1,2003,2003
2458,Bill Willoughby,8,1976,1984
2459,Garry Witts,1,1982,1982
2460,Lonnie Wright,5,1968,1972
2461,Luther Wright,1,1994,1994
2462,Bill Bridges,13,1963,1975
2463,Cedric Jackson,1,2010,2010
2464,Damion James,4,2011,2014
2465,Alex Kirk,1,2015,2015
2466,Matt Othick,1,1993,1993
2467,Andre Roberson,7,2014,2021
2468,Rudy White,5,1976,1981
2469,Zaid Abdul-Aziz,10,1969,1978
2470,Kareem Abdul-Jabbar,20,1970,1989
2471,Don Ackerman,1,1954,1954
2472,Rawle Alkins,1,2019,2019
2473,Derrick Alston,3,1995,1997
2474,Rafer Alston,11,2000,2010
2475,Jose Alvarado,1,2022,2022
2476,Andrew Anderson,3,1968,1970
2477,Kenny Anderson,14,1992,2005
2478,Carmelo Anthony,19,2004,2022
2479,Tiny Archibald,13,1971,1984
2480,Joe Arlauckas,1,1988,1988
2481,Hilton Armstrong,6,2007,2014
2482,Jesse Arnelle,1,1956,1956
2483,Johnny Bach,1,1949,1949
2484,Renaldo Balkman,6,2007,2012
2485,Mo Bamba,4,2019,2022
2486,Erick Barkley,2,2001,2002
2487,Andre Barrett,4,2005,2008
2488,Brent Barry,14,1996,2009
2489,Ed Bartels,2,1950,1951
2490,Eddie Basden,1,2006,2006
2491,Ron Behagen,7,1974,1980
2492,Walter Berry,3,1987,1989
2493,Wesley Bialosuknia,1,1968,1968
2494,Al Bianchi,10,1957,1966
2495,Joe Binion,1,1987,1987
2496,James Blackwell,1,1995,1995
2497,Antonio Blakeney,2,2018,2019
2498,Andray Blatche,9,2006,2014
2499,Mike Bloom,2,1948,1949
2500,Mark Blount,9,2001,2009
2501,Bill Bolger,1,1954,1954
2502,Curtis Borchardt,2,2004,2005
2503,Jim Bostic,1,1978,1978
2504,James Bouknight,1,2022,2022
2505,Harry Boykoff,2,1950,1951
2506,Steve Bracey,3,1973,1975
2507,Elton Brand,17,2000,2016
2508,Jim Brasco,1,1953,1953
2509,Carl Braun,13,1948,1962
2510,Pete Brennan,1,1959,1959
2511,Tom Brennan,1,1955,1955
2512,Frank Brickowski,12,1985,1997
2513,Aud Brindley,1,1947,1947
2514,Dave Britton,1,1981,1981
2515,Chucky Brown,13,1990,2002
2516,Damone Brown,4,2002,2005
2517,Ernest Brown,1,2002,2002
2518,Larry Brown,5,1968,1972
2519,Moses Brown,3,2020,2022
2520,Roger Brown,8,1968,1975
2521,George Bruns,1,1973,1973
2522,Rick Brunson,9,1998,2006
2523,Thomas Bryant,5,2018,2022
2524,George Bucci,1,1976,1976
2525,Dick Bunt,1,1953,1953
2526,Steve Burtt,4,1985,1993
2527,Marty Byrnes,4,1979,1983
2528,Rick Carlisle,5,1985,1990
2529,George Carter,8,1968,1976
2530,Reggie Carter,2,1981,1982
2531,Troy Caupain,1,2019,2019
2532,Duane Causwell,11,1991,2001
2533,Tyler Cavanaugh,2,2018,2019
2534,Al Cervi,4,1950,1953
2535,Lionel Chalmers,1,2005,2005
2536,Justin Champagnie,1,2022,2022
2537,Lorenzo Charles,1,1986,1986
2538,Derrick Chievous,3,1989,1991
2539,Fred Christ,1,1955,1955
2540,Stephen Chubin,3,1968,1970
2541,Speedy Claxton,7,2002,2009
2542,Jimmy Collins,2,1971,1972
2543,Ed Conlin,7,1956,1962
2544,Marty Conlon,9,1992,2000
2545,Chuck Connors,2,1947,1948
2546,Omar Cook,2,2004,2005
2547,Ray Corley,3,1950,1953
2548,Larry Costello,12,1955,1968
2549,Bob Cousy,14,1951,1970
2550,Freddie Crawford,5,1967,1971
2551,Charlie Criss,8,1978,1985
2552,Billy Cunningham,11,1966,1976
2553,Lloyd Daniels,5,1993,1998
2554,Charlie Davis,3,1972,1974
2555,Mel Davis,4,1974,1977
2556,Mike Davis,4,1970,1973
2557,Terry Dehere,6,1994,1999
2558,Red Dehnert,1,1947,1947
2559,Joe DePre,3,1971,1973
2560,Dave Deutsch,1,1967,1967
2561,Hank DeZonie,1,1951,1951
2562,Hamidou Diallo,4,2019,2022
2563,Connie Dierking,10,1959,1971
2564,Ike Diogu,6,2006,2012
2565,Fred Diute,1,1955,1955
2566,Joe Dolhon,2,1950,1951
2567,Billy Donovan,1,1988,1988
2568,Quincy Douby,3,2007,2009
2569,Sonny Dove,5,1968,1972
2570,Danny Doyle,1,1963,1963
2571,Andre Drummond,10,2013,2022
2572,Dick Duckett,1,1958,1958
2573,Bob Duffy,3,1963,1965
2574,Walter Dukes,8,1956,1963
2575,Mike Dunleavy,11,1977,1990
2576,Dennis DuVal,2,1975,1976
2577,Cleanthony Early,2,2015,2016
2578,Devin Ebanks,3,2011,2013
2579,Franklin Edwards,7,1982,1988
2580,Mario Elie,11,1991,2001
2581,Leroy Ellis,14,1963,1976
2582,Len Elmore,10,1975,1984
2583,Bo Erias,1,1958,1958
2584,Julius Erving,16,1972,1987
2585,Johnny Ezersky,3,1948,1950
2586,Phil Farbman,1,1949,1949
2587,George Feigenbaum,2,1950,1953
2588,Ray Felix,9,1954,1962
2589,Al Ferrari,6,1956,1963
2590,Danny Finn,3,1953,1955
2591,Bob Fitzgerald,2,1947,1949
2592,Dick Fitzgerald,2,1947,1948
2593,Jerry Fleishman,5,1947,1953
2594,Vern Fleming,12,1985,1996
2595,Bruce Flowers,1,1983,1983
2596,Jonny Flynn,3,2010,2012
2597,Larry Fogle,1,1976,1976
2598,Jeff Foote,1,2012,2012
2599,Donnie Forman,1,1949,1949
2600,Nat Frankel,1,1947,1947
2601,Michael Frazier,1,2020,2020
2602,Jimmer Fredette,6,2012,2019
2603,Channing Frye,13,2006,2019
2604,Bill Gabor,6,1950,1955
2605,Sundiata Gaines,3,2010,2012
2606,Rudy Gay,16,2007,2022
2607,Taj Gibson,13,2010,2022
2608,Pop Goodwin,2,1947,1948
2609,Leo Gottlieb,2,1947,1948
2610,Butch Graves,1,1985,1985
2611,Danny Green,13,2010,2022
2612,Luther Green,3,1970,1973
2613,Si Green,9,1957,1966
2614,Sidney Green,10,1984,1993
2615,Dick Grubar,1,1970,1970
2616,Richie Guerin,13,1957,1970
2617,Tom Gugliotta,13,1993,2005
2618,Coulby Gunther,2,1947,1949
2619,Rudy Hackett,2,1976,1977
2620,Jeff Halliburton,2,1972,1973
2621,Zendon Hamilton,6,2001,2006
2622,Maurice Harkless,10,2013,2022
2623,Jerry Harkness,3,1964,1969
2624,Tobias Harris,11,2012,2022
2625,Billy Hassett,2,1950,1951
2626,Connie Hawkins,9,1968,1976
2627,Jim Hayes,1,1971,1971
2628,Lazar Hayward,3,2011,2013
2629,Brendan Haywood,13,2002,2015
2630,Larry Hennessy,2,1956,1957
2631,Sonny Hertzberg,5,1947,1951
2632,Art Heyman,6,1964,1970
2633,Roy Hibbert,9,2009,2017
2634,Armond Hill,8,1977,1984
2635,Julius Hodge,2,2006,2007
2636,John Holland,2,2018,2019
2637,Red Holzman,6,1949,1954
2638,Kevin Huerter,4,2019,2022
2639,Elijah Hughes,2,2021,2022
2640,Geoff Huston,8,1980,1987
2641,Marc Iavaroni,7,1983,1989
2642,Jonathan Isaac,3,2018,2020
2643,Royal Ivey,10,2005,2014
2644,Greg Jackson,1,1975,1975
2645,Mark Jackson,17,1988,2004
2646,Tony Jackson,2,1968,1969
2647,Mike James,12,2002,2014
2648,Charles Jenkins,2,2012,2013
2649,Ty Jerome,3,2020,2022
2650,Cheese Johnson,1,1980,1980
2651,Dakari Johnson,1,2018,2018
2652,Eric Johnson,1,1990,1990
2653,George Johnson,8,1979,1986
2654,Vinnie Johnson,13,1980,1992
2655,Charles Jones,2,1999,2000
2656,Hutch Jones,2,1983,1984
2657,Kevin Jones,1,2013,2013
2658,Mark Jones,1,1984,1984
2659,Shelton Jones,1,1989,1989
2660,Adonis Jordan,2,1994,1999
2661,Michael Jordan,15,1985,2003
2662,Kevin Joyce,3,1974,1976
2663,George Kaftan,5,1949,1953
2664,Ralph Kaplowitz,2,1947,1948
2665,Bob Kauffman,7,1969,1975
2666,Tommy Kearns,1,1959,1959
2667,Ken Keller,1,1947,1947
2668,Ryan Kelly,4,2014,2017
2669,Tom Kelly,1,1949,1949
2670,Tim Kempton,8,1987,1998
2671,Billy Kenville,6,1954,1960
2672,Irv Kiffin,1,1980,1980
2673,Sean Kilpatrick,4,2015,2018
2674,Albert King,9,1982,1992
2675,Bernard King,14,1978,1993
2676,Jim Kissane,1,1969,1969
2677,Nathan Knight,2,2021,2022
2678,Toby Knight,4,1978,1982
2679,Barry Kramer,2,1965,1970
2680,Mitch Kupchak,9,1977,1986
2681,Christian Laettner,13,1993,2005
2682,Anthony Lamb,2,2021,2022
2683,Doron Lamb,2,2013,2014
2684,Bob Lanier,14,1971,1984
2685,York Larese,1,1962,1962
2686,Rudy LaRusso,10,1960,1969
2687,Jalen Lecque,2,2020,2021
2688,Ed Leede,2,1950,1951
2689,Barry Leibowitz,1,1968,1968
2690,Andrew Levane,3,1949,1953
2691,Freddie Lewis,2,1949,1950
2692,Scottie Lewis,1,2022,2022
2693,Art Long,3,2001,2003
2694,Kevin Loughery,11,1963,1973
2695,Jim Luisi,1,1954,1954
2696,Ray Lumpp,5,1949,1953
2697,Tyler Lydon,2,2018,2019
2698,Ronnie MacGilvray,1,1955,1955
2699,Scott Machado,2,2013,2019
2700,Ollie Mack,3,1980,1982
2701,Norm Mager,1,1951,1951
2702,Mo Mahoney,2,1953,1954
2703,Lionel Malamed,1,1949,1949
2704,Mike Maloy,3,1971,1973
2705,Sandro Mamukelashvili,1,2022,2022
2706,Frank Mangiapane,1,1947,1947
2707,Terance Mann,3,2020,2022
2708,Stephon Marbury,13,1997,2009
2709,Ricky Marsh,1,1978,1978
2710,Maurice Martin,2,1987,1988
2711,Jamal Mashburn,11,1994,2004
2712,Al Masino,2,1953,1954
2713,Matt Mazza,1,1950,1950
2714,Brendan McCann,3,1958,1960
2715,Mike McCarron,2,1947,1950
2716,Johnny McCarthy,6,1957,1964
2717,Paul McCracken,3,1973,1977
2718,Rodney McCray,10,1984,1993
2719,Scooter McCray,3,1984,1987
2720,Chris McCullough,3,2016,2018
2721,Alfred McGuire,4,1952,1955
2722,Allie McGuire,1,1974,1974
2723,Dick McGuire,11,1950,1960
2724,Jack McMahon,8,1953,1960
2725,Tom McMillen,11,1976,1986
2726,Stan Miasek,6,1947,1953
2727,Nat Militzok,1,1947,1947
2728,Eddie Miller,2,1953,1954
2729,Harry Miller,1,1947,1947
2730,Donovan Mitchell,5,2018,2022
2731,Eric Mobley,3,1995,1997
2732,Doug Moe,5,1968,1972
2733,Jack Molinas,1,1954,1954
2734,Ron Moore,1,1988,1988
2735,Jaylen Morris,3,2018,2022
2736,John Morton,3,1990,1992
2737,Arnett Moultrie,2,2013,2014
2738,Joe Mullaney,1,1950,1950
2739,Bob Mullens,1,1947,1947
2740,Chris Mullin,16,1986,2001
2741,Jeff Mullins,12,1965,1976
2742,Dick Murphy,1,1947,1947
2743,Boris Nachamkin,1,1955,1955
2744,Ruben Nembhard,1,1997,1997
2745,Dave Newmark,3,1969,1971
2746,Joakim Noah,13,2008,2020
2747,George Nostrand,4,1947,1950
2748,Jordan Nwora,2,2021,2022
2749,Jimmy O'Brien,4,1972,1975
2750,Dermie O'Connell,2,1949,1950
2751,Buddy O'Grady,3,1947,1949
2752,Kyle O'Quinn,8,2013,2020
2753,Dan O'Sullivan,4,1991,1996
2754,Greg Oden,3,2009,2014
2755,Lamar Odom,14,2000,2013
2756,Daniel Oturu,2,2021,2022
2757,Tariq Owens,1,2020,2020
2758,Tom Owens,12,1972,1983
2759,Jaysean Paige,1,2022,2022
2760,Walter Palmer,2,1991,1993
2761,Smush Parker,5,2003,2008
2762,Eric Paschall,3,2020,2022
2763,Jake Pelkington,1,1949,1949
2764,Sam Perkins,17,1985,2001
2765,Ed Peterson,2,1950,1951
2766,Derrick Phelps,1,1995,1995
2767,Ed Pinckney,12,1986,1997
2768,Shamorie Ponds,1,2020,2020
2769,Harold Pressley,4,1987,1990
2770,Tony Price,1,1981,1981
2771,Andy Rautins,1,2011,2011
2772,Allan Ray,1,2007,2007
2773,Frank Reddout,1,1954,1954
