,Player Name,Seasons in NBA,First Season Played,Last Season Played
978,Elmore Spencer,5,1993,1997
979,Mark Strickland,8,1995,2003
980,Aaron Swinson,1,1995,1995
981,Joe Thomas,1,1971,1971
982,Kenny Thomas,11,2000,2010
983,Al Thornton,4,2008,2011
984,Sedale Threatt,14,1984,1997
985,Ansley Truitt,1,1973,1973
986,Devin Vassell,2,2021,2022
987,Kenny Walker,7,1987,1995
988,M.J. Walker,1,2022,2022
989,Perry Warbington,1,1975,1975
990,Charlie Ward,11,1995,2005
991,John Warren,5,1970,1974
992,James Webb III,1,2018,2018
993,Eddie Lee Wilkins,6,1985,1993
994,Gerald Wilkins,13,1986,1999
995,Corey Williams,2,1993,1994
996,Dontonio Wingfield,4,1995,1998
997,Al Wood,6,1982,1987
998,Sharone Wright,4,1995,1998
999,Cedric Ceballos,11,1991,2001
1000,Red Rocha,9,1948,1957
1001,Charlie Black,3,1949,1952
1002,Steve Hayes,5,1982,1986
1003,Luke Ridnour,12,2004,2015
1004,Deb Smith,1,1947,1947
1005,Dale Wilkinson,1,1985,1985
1006,Mark Aguirre,13,1982,1994
1007,Cliff Alexander,1,2016,2016
1008,Tony Allen,14,2005,2018
1009,Ashraf Amaya,2,1996,1997
1010,Eric Anderson,2,1993,1994
1011,J.J. Anderson,3,1983,1985
1012,Nick Anderson,13,1990,2002
1013,Ron Anderson,10,1985,1994
1014,Jim Ard,8,1971,1978
1015,James Augustine,2,2007,2008
1016,Maurice Baker,1,2005,2005
1017,Keita Bates-Diop,4,2019,2022
1018,Kenny Battle,4,1990,1993
1019,Lloyd Batts,1,1975,1975
1020,Elmer Behnke,1,1952,1952
1021,Irv Bemoras,2,1954,1957
1022,Elmer Bennett,3,1995,1997
1023,Patrick Beverley,10,2013,2022
1024,Cory Blackwell,1,1985,1985
1025,Bucky Bockhorn,7,1959,1965
1026,George Bon Salle,1,1962,1962
1027,Walter Bond,3,1993,1995
1028,Donnie Boyce,2,1996,1997
1029,A.J. Bramlett,1,2000,2000
1030,Brad Branson,2,1982,1983
1031,Jim Brewer,9,1974,1982
1032,Andre Brown,3,2007,2009
1033,Randy Brown,12,1992,2003
1034,Roger Brown,5,1973,1980
1035,Shannon Brown,9,2007,2015
1036,Sterling Brown,5,2018,2022
1037,Tony Brown,7,1985,1992
1038,Jim Browne,2,1949,1950
1039,Em Bryant,8,1965,1972
1040,Quinn Buckner,10,1977,1986
1041,Jack Burmaster,1,1950,1950
1042,Will Bynum,8,2006,2015
1043,Devontae Cacok,3,2020,2022
1044,Corky Calhoun,8,1973,1980
1045,Brian Cardinal,12,2001,2012
1046,Howie Carl,1,1962,1962
1047,Bob Carney,1,1955,1955
1048,Jevon Carter,4,2019,2022
1049,Maurice Cheeks,15,1979,1993
1050,Keon Clark,6,1999,2004
1051,Doug Collins,8,1974,1981
1052,Sherron Collins,1,2011,2011
1053,Bobby Cook,1,1950,1950
1054,Brian Cook,9,2004,2012
1055,Norm Cook,2,1977,1978
1056,Jack Cooley,2,2015,2018
1057,Dave Corzine,13,1979,1991
1058,Robert Covington,9,2014,2022
1059,Jeff Cross,1,1986,1986
1060,Russell Cross,1,1984,1984
1061,Terry Cummings,18,1983,2000
1062,Fran Curran,2,1949,1950
1063,Eddy Curry,11,2002,2013
1064,Ed Dahler,1,1952,1952
1065,Anthony Davis,10,2013,2022
1066,Jimmy Dawson,1,1968,1968
1067,Todd Day,8,1993,2001
1068,Justin Dentmon,2,2012,2013
1069,Earl Dodd,1,1950,1950
1070,Ayo Dosunmu,1,2022,2022
1071,Devon Dotson,2,2021,2022
1072,Bruce Douglas,1,1987,1987
1073,Milton Doyle,1,2018,2018
1074,Nate Driggers,1,1997,1997
1075,Kevin Duckworth,11,1987,1997
1076,Tony Dumas,4,1995,1998
1077,Gene Dyker,1,1954,1954
1078,Acie Earl,4,1994,1997
1079,Ed Earle,1,1954,1954
1080,Dike Eddleman,4,1950,1953
1081,Bulbs Ehlers,2,1948,1949
1082,Bo Ellis,3,1978,1980
1083,LaPhonso Ellis,11,1993,2003
1084,Melvin Ely,9,2003,2014
1085,Scott English,3,1973,1975
1086,Brian Evans,3,1997,1999
1087,Jake Fendley,2,1952,1953
1088,Bobby Fields,1,1972,1972
1089,Michael Finley,15,1996,2010
1090,Al Fleming,1,1978,1978
1091,Donnie Freeman,9,1968,1976
1092,Larry Friend,1,1958,1958
