,Player Name,Team (3 Letter),Age,Player Height,Player Weight,Season,Salary
173,Robert Horry,LAL,29,208.28,106.59412,1999-00,4800000.0
174,Rik Smits,IND,33,223.52,120.20188,1999-00,
175,Ricky Davis,CHH,20,200.66,89.357624,1999-00,878000.0
176,Rick Hughes,DAL,26,205.74,106.59412,1999-00,
177,Rick Fox,LAL,30,200.66,109.769264,1999-00,3033000.0
178,Rick Brunson,NYK,28,193.04,86.18248,1999-00,
179,Richard Hamilton,WAS,22,198.12,83.91452,1999-00,1836000.0
180,Rex Walters,MIA,30,193.04,86.18248,1999-00,
181,Rex Chapman,PHX,32,193.04,83.91452,1999-00,
182,Reggie Miller,IND,34,200.66,83.91452,1999-00,
183,Reggie Jordan,WAS,32,193.04,88.45044,1999-00,
184,Ray Allen,MIL,24,195.58,92.98636,1999-00,9000000.0
185,Rasho Nesterovic,MIN,24,213.36,112.490816,1999-00,1050000.0
186,Rasheed Wallace,POR,25,210.82,102.0582,1999-00,10800000.0
187,Rashard Lewis,SEA,20,208.28,97.52228,1999-00,
188,Randy Livingston,PHX,25,193.04,94.800728,1999-00,
189,Randy Brown,CHI,32,187.96,86.636072,1999-00,
190,Randell Jackson,DAL,24,210.82,97.52228,1999-00,
191,Rafer Alston,MIL,23,187.96,77.56423199999999,1999-00,301000.0
192,Raef LaFrentz,DEN,24,210.82,108.86208,1999-00,2777000.0
193,Quincy Lewis,UTA,23,200.66,97.52228,1999-00,930000.0
194,Popeye Jones,DEN,30,203.2,113.398,1999-00,
195,Pete Chilcutt,LAC,31,208.28,111.13004,1999-00,
196,Pervis Ellison,BOS,33,205.74,95.25432,1999-00,
197,Peja Stojakovic,SAC,23,205.74,103.872568,1999-00,
198,Paul Pierce,BOS,22,200.66,99.79024,1999-00,1503000.0
199,Robert Traylor,MIL,23,203.2,128.820128,1999-00,2059000.0
200,Rod Strickland,WAS,33,190.5,83.91452,1999-00,
201,Rodney Buford,MIA,22,195.58,85.728888,1999-00,
202,Rodney Rogers,PHX,29,200.66,115.66596,1999-00,2000000.0
203,Shareef Abdur-Rahim,VAN,23,205.74,104.32616,1999-00,
204,Shaquille O'Neal,LAL,28,215.9,142.88148,1999-00,17142000.0
205,Shandon Anderson,HOU,26,198.12,95.25432,1999-00,
206,Shammond Williams,SEA,25,185.42,91.171992,1999-00,
207,Sean Rooks,DAL,30,208.28,122.46984,1999-00,1920000.0
208,Sean Marks,TOR,24,208.28,113.398,1999-00,
209,Sean Elliott,SAS,32,203.2,99.79024,1999-00,
210,Scottie Pippen,POR,34,200.66,103.418976,1999-00,14795000.0
211,Scott Williams,MIL,32,208.28,104.32616,1999-00,3750000.0
212,Scott Padgett,UTA,24,205.74,108.86208,1999-00,679000.0
213,Scott Burrell,NJN,29,200.66,98.883056,1999-00,
214,Scot Pollard,SAC,25,210.82,120.20188,1999-00,
215,Samaki Walker,SAS,24,205.74,117.93392,1999-00,
216,Pat Garrity,ORL,23,205.74,107.954896,1999-00,952000.0
217,Sam Perkins,IND,39,205.74,117.93392,1999-00,
218,Sam Mack,GSW,30,200.66,99.79024,1999-00,
219,Sam Jacobson,GSW,24,193.04,99.336648,1999-00,
220,Sam Cassell,MIL,30,190.5,83.91452,1999-00,3500000.0
221,Ryan Stack,CLE,24,210.82,97.52228,1999-00,
222,Ryan Robertson,SAC,23,195.58,86.18248,1999-00,
223,Ryan Bowen,DEN,24,200.66,97.52228,1999-00,
224,Rusty LaRue,CHI,26,190.5,86.18248,1999-00,
225,Ruben Patterson,SEA,24,198.12,102.965384,1999-00,
226,Roy Rogers,DEN,26,208.28,106.59412,1999-00,
227,Roshown McLeod,ATL,24,203.2,100.243832,1999-00,914000.0
228,Ron Mercer,ORL,24,200.66,95.25432,1999-00,
229,Ron Harper,LAL,36,198.12,97.52228,1999-00,
230,Rodrick Rhodes,DAL,26,198.12,102.0582,1999-00,
231,Sam Mitchell,MIN,36,200.66,97.52228,1999-00,
232,Jason Williams,SAC,24,185.42,86.18248,1999-00,1879000.0
233,Tom Gugliotta,PHX,30,208.28,108.86208,1999-00,8558000.0
234,Jason Miskiri,CHH,24,187.96,83.91452,1999-00,
235,Charles Oakley,TOR,36,205.74,111.13004,1999-00,
236,Charles Barkley,HOU,37,198.12,114.305184,1999-00,
237,Cedric Henderson,CLE,25,200.66,102.0582,1999-00,
238,Cedric Ceballos,DAL,30,200.66,99.79024,1999-00,
239,Carlos Rogers,HOU,29,210.82,105.233344,1999-00,
240,Calvin Booth,WAS,24,210.82,109.315672,1999-00,
241,Calbert Cheaney,BOS,28,200.66,97.52228,1999-00,
242,Cal Bowdler,ATL,23,208.28,111.13004,1999-00,1025000.0
243,Bryon Russell,UTA,29,200.66,102.0582,1999-00,4000000.0
244,Bryce Drew,HOU,25,190.5,83.91452,1999-00,
245,Bryant Stith,DEN,29,195.58,94.347136,1999-00,
