Player Name,Season,Salary
Carlos Rogers,2000-01,2200000.0
Shandon Anderson,2000-01,2200000.0
Eric Piatkowski,2000-01,2200000.0
Ron Harper,2000-01,2200000.0
Grant Long,2000-01,2200000.0
George Lynch,2000-01,2200000.0
Detlef Schrempf,2000-01,2200000.0
Olden Polynice,2000-01,2200000.0
Michael Smith,2000-01,2200000.0
Cory Alexander,2000-01,2160000.0
DerMarr Johnson,2000-01,2107200.0
John Williams,2000-01,2100000.0
Clarence Weatherspoon,2000-01,2100000.0
Hubert Davis,2000-01,2100000.0
Billy Owens,2000-01,2100000.0
Eric Murdock,2000-01,2100000.0
Matt Bullard,2000-01,2100000.0
Cherokee Parks,2000-01,2100000.0
Alvin Williams,2000-01,2100000.0
Johnny Newman,2000-01,2000000.0
Chris Mihm,2000-01,1923600.0
Keith Closs,2000-01,1920000.0
Andrew DeClercq,2000-01,1920000.0
James Robinson,2000-01,1870000.0
Aaron McKie,2000-01,1818000.0
Jamal Crawford,2000-01,1762320.0
Jaren Jackson,2000-01,1750000.0
Lorenzo Williams,2000-01,1750000.0
Muggsy Bogues,2000-01,1740000.0
Darvin Ham,2000-01,1700000.0
Joel Przybilla,2000-01,1619880.0
Keyon Dooling,2000-01,1538880.0
Jacque Vaughn,2000-01,1500000.0
Predrag Stojakovic,2000-01,1480000.0
Jerome Moiso,2000-01,1461960.0
Michael Doleac,2000-01,1452000.0
Etan Thomas,2000-01,1388880.0
Tony Massenburg,2000-01,1360000.0
Corie Blount,2000-01,1320000.0
Courtney Alexander,2000-01,1319400.0
Gary Grant,2000-01,1316969.0
William Avery,2000-01,1286160.0
Mateen Cleaves,2000-01,1253400.0
Anthony Johnson,2000-01,1200000.0
Chris Carr,2000-01,1200000.0
Joe Kleine,2000-01,1200000.0
Zan Tabak,2000-01,1200000.0
Chuck Person,2000-01,1200000.0
Anthony Carter,2000-01,1200000.0
LaPhonso Ellis,2000-01,1200000.0
Danny Ferry,2000-01,1200000.0
Dennis Scott,2000-01,1200000.0
Jason Collier,2000-01,1190760.0
Bryce Drew,2000-01,1182600.0
Elliot Perry,2000-01,1144000.0
Hidayet Turkoglu,2000-01,1131240.0
Tom Hammonds,2000-01,1130000.0
Radoslav Nesterovic,2000-01,1123560.0
Jelani McCoy,2000-01,1110000.0
Sherman Douglas,2000-01,1100000.0
Greg Buckner,2000-01,1100000.0
Desmond Mason,2000-01,1074720.0
Mirsad Turkcan,2000-01,1069400.0
Bill Curley,2000-01,1034500.0
Quentin Richardson,2000-01,1020960.0
Kevin Edwards,2000-01,1000000.0
Jerome Kersey,2000-01,1000000.0
Felton Spencer,2000-01,1000000.0
David Wingate,2000-01,1000000.0
Pervis Ellison,2000-01,1000000.0
Dee Brown,2000-01,1000000.0
Monty Williams,2000-01,1000000.0
Mario Elie,2000-01,1000000.0
Tyrone Corbin,2000-01,1000000.0
Bruno Sundov,2000-01,997000.0
Ruben Patterson,2000-01,990000.0
Jamaal Magloire,2000-01,975000.0
Speedy Claxton,2000-01,936000.0
Terry Davis,2000-01,923500.0
Stacey Augmon,2000-01,923500.0
Morris Peterson,2000-01,898560.0
Fred Hoiberg,2000-01,880000.0
Tyronn Lue,2000-01,865800.0
Donnell Harvey,2000-01,862560.0
Felipe Lopez,2000-01,831120.0
DeShawn Stevenson,2000-01,828120.0
John Crotty,2000-01,800000.0
Mahmoud Abdul-Rauf,2000-01,798500.0
Dalibor Bagaric,2000-01,795000.0
Sam Jacobson,2000-01,768500.0
Iakovos Tsakalidis,2000-01,763200.0
Corey Benjamin,2000-01,749160.0
Vladimir Stepania,2000-01,749160.0
Nazr Mohammed,2000-01,739080.0
Mamadou N'diaye,2000-01,737880.0
Isaiah Rider,2000-01,736000.0
Todd Day,2000-01,736000.0
David Benoit,2000-01,736000.0
Bruce Bowen,2000-01,733000.0
Erick Barkley,2000-01,712200.0
Damon Jones,2000-01,710000.0
Mark Madsen,2000-01,707040.0
Reggie Slater,2000-01,673500.0
Darrick Martin,2000-01,673500.0
Larry Robinson,2000-01,611000.0
Todd Fuller,2000-01,611000.0
Don Reid,2000-01,611000.0
Antonio Harvey,2000-01,611000.0
Emanual Davis,2000-01,610000.0
Eddie Robinson,2000-01,600000.0
John Amaechi,2000-01,600000.0
Shammond Williams,2000-01,550000.0
Doug Overton,2000-01,548500.0
Shawnelle Scott,2000-01,548500.0
Rick Brunson,2000-01,539500.0
