,pick_overall,Year,team_id,player,college_name,seasons,g,mp,pts,trb,ast,fg_pct,fg3_pct,ft_pct,mp_per_g,pts_per_g,trb_per_g,ast_per_g,ws,ws_per_48,bpm,vorp
odengr01,1,2007,POR,Greg Oden,Ohio State,3,105,2028,840,656,51,.574,,.658,19.3,8.0,6.2,0.5,7.3,.174,-0.4,0.8
duranke01,2,2007,SEA,Kevin Durant,Texas,12,849,31305,22940,5992,3486,.493,.381,.883,36.9,27.0,7.1,4.1,141.7,.217,6.7,69.0
horfoal01,3,2007,ATL,Al Horford,Florida,13,853,27810,11890,7053,2818,.520,.364,.754,32.6,13.9,8.3,3.3,91.1,.157,2.8,33.7
conlemi01,4,2007,MEM,Mike Conley,Ohio State,13,835,27063,12408,2478,4717,.439,.375,.819,32.4,14.9,3.0,5.6,73.9,.131,2.3,29.5
greenje02,5,2007,BOS,Jeff Green,Georgetown,12,908,26779,11773,4008,1421,.442,.334,.805,29.5,13.0,4.4,1.6,42.3,.076,-1.3,4.5
jianlyi01,6,2007,MIL,Yi Jianlian,,5,272,6038,2148,1339,192,.404,.333,.780,22.2,7.9,4.9,0.7,3.1,.025,-4.3,-3.5
breweco01,7,2007,MIN,Corey Brewer,Florida,13,819,18771,7097,2287,1250,.425,.284,.713,22.9,8.7,2.8,1.5,22.5,.058,-1.6,2.0
wrighbr03,8,2007,CHA,Brandan Wright,UNC,10,428,6949,2976,1560,199,.607,.000,.674,16.2,7.0,3.6,0.5,26.2,.181,2.3,7.5
noahjo01,9,2007,CHI,Joakim Noah,Florida,13,672,18646,5881,6058,1907,.491,.000,.700,27.7,8.8,9.0,2.8,61.9,.159,2.5,20.9
hawessp01,10,2007,SAC,Spencer Hawes,Washington,10,684,15541,5932,3893,1271,.457,.350,.716,22.7,8.7,5.7,1.9,22.6,.070,-1.1,3.4
lawac01,11,2007,ATL,Acie Law,Texas A&M,4,188,2385,725,195,309,.413,.235,.778,12.7,3.9,1.0,1.6,1.6,.032,-3.9,-1.1
youngth01,12,2007,PHI,Thaddeus Young,Georgia Tech,13,965,29281,12703,5714,1607,.498,.333,.670,30.3,13.2,5.9,1.7,61.6,.101,0.3,16.9
wrighju01,13,2007,NOK,Julian Wright,Kansas,4,231,3049,907,531,182,.499,.262,.584,13.2,3.9,2.3,0.8,3.9,.061,-0.5,1.2
thornal01,14,2007,LAC,Al Thornton,Florida State,4,296,8274,3527,1233,353,.452,.293,.747,28.0,11.9,4.2,1.2,6.1,.035,-3.5,-3.2
rosede01,1,2008,CHI,Derrick Rose,Memphis,11,596,19402,11185,2031,3334,.456,.304,.827,32.6,18.8,3.4,5.6,39.7,.098,1.3,16.5
beaslmi01,2,2008,MIA,Michael Beasley,Kansas State,11,609,13903,7568,2861,788,.465,.349,.759,22.8,12.4,4.7,1.3,15.6,.054,-1.7,0.9
mayooj01,3,2008,MIN,O.J. Mayo,USC,8,547,16919,7574,1706,1607,.429,.373,.820,30.9,13.8,3.1,2.9,21.8,.062,-0.9,4.7
westbru01,4,2008,SEA,Russell Westbrook,UCLA,12,878,30379,20412,6211,7298,.437,.305,.799,34.6,23.2,7.1,8.3,101.1,.160,4.8,52.1
loveke01,5,2008,MEM,Kevin Love,UCLA,12,713,22803,12993,7944,1697,.442,.370,.828,32.0,18.2,11.1,2.4,82.0,.173,3.4,31.0
gallida01,6,2008,NYK,Danilo Gallinari,,11,611,18886,9880,2991,1237,.427,.380,.873,30.9,16.2,4.9,2.0,56.7,.144,2.0,19.1
gordoer01,7,2008,LAC,Eric Gordon,Indiana,12,665,21799,11017,1640,1896,.425,.370,.811,32.8,16.6,2.5,2.9,34.1,.075,-0.4,8.6
alexajo01,8,2008,MIL,Joe Alexander,West Virginia,2,67,745,282,120,44,.410,.340,.698,11.1,4.2,1.8,0.7,0.5,.030,-3.6,-0.3
augusdj01,9,2008,CHA,D.J. Augustin,Texas,12,864,20839,8527,1643,3466,.412,.379,.865,24.1,9.9,1.9,4.0,44.8,.103,-0.5,8.0
lopezbr01,10,2008,NJN,Brook Lopez,Stanford,12,785,23992,13227,5007,1190,.494,.341,.793,30.6,16.8,6.4,1.5,65.6,.131,1.4,20.7
bayleje01,11,2008,IND,Jerryd Bayless,Arizona,11,586,12486,4909,1235,1674,.411,.361,.818,21.3,8.4,2.1,2.9,18.6,.072,-1.6,1.1
thompja02,12,2008,SAC,Jason Thompson,Rider University,8,588,14819,5210,3880,635,.496,.143,.657,25.2,8.9,6.6,1.1,23.8,.077,-2.6,-2.4
rushbr01,13,2008,POR,Brandon Rush,Kansas,9,481,10564,3250,1413,468,.426,.402,.706,22.0,6.8,2.9,1.0,11.2,.051,-1.4,1.6
randoan01,14,2008,GSW,Anthony Randolph,LSU,6,252,3841,1789,1078,187,.453,.241,.740,15.2,7.1,4.3,0.7,5.8,.072,-1.6,0.4
griffbl01,1,2009,LAC,Blake Griffin,Oklahoma,10,622,21671,13479,5501,2749,.498,.333,.694,34.8,21.7,8.8,4.4,75.2,.167,3.8,31.9
thabeha01,2,2009,MEM,Hasheem Thabeet,UConn,5,224,2357,483,595,27,.567,,.578,10.5,2.2,2.7,0.1,4.8,.099,-2.7,-0.4
hardeja01,3,2009,OKC,James Harden,Arizona State,11,833,28589,20962,4446,5255,.443,.363,.858,34.3,25.2,5.3,6.3,135.0,.227,7.0,64.6
evansty01,4,2009,SAC,Tyreke Evans,Memphis,10,594,18242,9347,2720,2852,.440,.323,.757,30.7,15.7,4.6,4.8,28.4,.075,0.8,13.1
rubiori01,5,2009,MIN,Ricky Rubio,,9,563,17386,6372,2396,4387,.391,.328,.841,30.9,11.3,4.3,7.8,37.2,.103,0.9,12.9
flynnjo01,6,2009,MIN,Jonny Flynn,Syracuse,3,163,3738,1504,307,634,.400,.338,.809,22.9,9.2,1.9,3.9,-1.1,-.015,-4.0,-1.9
curryst01,7,2009,GSW,Stephen Curry,Davidson,11,699,23998,16419,3158,4621,.476,.435,.906,34.3,23.5,4.5,6.6,103.2,.207,6.4,50.7
hilljo01,8,2009,NYK,Jordan Hill,Arizona,8,409,7692,3232,2389,322,.497,.136,.699,18.8,7.9,5.8,0.8,16.4,.102,-2.0,0.0
derozde01,9,2009,TOR,DeMar DeRozan,USC,11,820,27990,16435,3576,2933,.458,.282,.829,34.1,20.0,4.4,3.6,67.5,.116,0.4,16.9
jennibr01,10,2009,MIL,Brandon Jennings,,9,555,16844,7801,1659,3151,.387,.345,.796,30.3,14.1,3.0,5.7,29.9,.085,0.8,11.8
willite01,11,2009,NJN,Terrence Williams,Louisville,4,153,2922,1085,545,364,.412,.317,.659,19.1,7.1,3.6,2.4,-0.2,-.004,-2.8,-0.6
hendege02,12,2009,CHA,Gerald Henderson,Duke,8,535,13854,5987,1716,1009,.440,.327,.793,25.9,11.2,3.2,1.9,18.3,.063,-1.8,0.6
hansbty01,13,2009,IND,Tyler Hansbrough,UNC,7,428,7233,2881,1808,181,.439,.136,.738,16.9,6.7,4.2,0.4,20.2,.134,-2.0,0.0
clarkea01,14,2009,PHO,Earl Clark,Louisville,6,261,3630,1138,778,134,.403,.328,.664,13.9,4.4,3.0,0.5,2.9,.038,-2.8,-0.8
walljo01,1,2010,WAS,John Wall,Kentucky,9,573,20545,10879,2483,5282,.433,.324,.781,35.9,19.0,4.3,9.2,44.3,.104,2.6,23.6
turneev01,2,2010,PHI,Evan Turner,Ohio State,10,705,18938,6824,3278,2462,.434,.294,.782,26.9,9.7,4.6,3.5,20.2,.051,-1.9,0.5
favorde01,3,2010,NJN,Derrick Favors,Georgia Tech,10,683,17510,7779,5048,782,.530,.207,.661,25.6,11.4,7.4,1.1,53.6,.147,0.9,12.7
johnswe01,4,2010,MIN,Wesley Johnson,Syracuse,9,609,13472,4235,1924,645,.404,.337,.741,22.1,7.0,3.2,1.1,10.7,.038,-1.6,1.2
couside01,5,2010,SAC,DeMarcus Cousins,Kentucky,9,565,18078,12006,6131,1832,.461,.332,.737,32.0,21.2,10.9,3.2,44.1,.117,2.6,21.1
udohek01,6,2010,GSW,Ekpe Udoh,Baylor,7,384,5694,1353,1100,260,.453,.000,.718,14.8,3.5,2.9,0.7,10.4,.088,-1.4,0.8
monrogr01,7,2010,DET,Greg Monroe,Georgetown,9,632,17475,8326,5229,1354,.514,.059,.704,27.7,13.2,8.3,2.1,49.7,.136,1.4,15.2
aminual01,8,2010,LAC,Al-Farouq Aminu,Wake Forest,10,688,17264,5248,4170,848,.421,.335,.745,25.1,7.6,6.1,1.2,27.5,.076,-0.5,6.7
haywago01,9,2010,UTA,Gordon Hayward,Butler,10,641,19772,9813,2820,2218,.451,.366,.823,30.8,15.3,4.4,3.5,53.7,.130,2.2,21.0
georgpa01,10,2010,IND,Paul George,Fresno State,10,652,21843,13016,4163,2185,.433,.381,.846,33.5,20.0,6.4,3.4,70.0,.154,4.1,33.6
aldrico01,11,2010,NOH,Cole Aldrich,Kansas,8,339,3389,1050,1131,183,.527,,.738,10.0,3.1,3.3,0.5,9.6,.135,0.1,1.8
henryxa01,12,2010,MEM,Xavier Henry,Kansas,5,185,2905,1050,351,120,.406,.325,.635,15.7,5.7,1.9,0.6,0.8,.013,-4.4,-1.7
davised01,13,2010,TOR,Ed Davis,UNC,10,668,13256,4215,4437,511,.568,.000,.583,19.8,6.3,6.6,0.8,41.9,.152,-0.1,6.2
pattepa01,14,2010,HOU,Patrick Patterson,Kentucky,10,681,14341,4585,2724,707,.448,.369,.755,21.1,6.7,4.0,1.0,30.6,.103,0.0,7.2
irvinky01,1,2011,CLE,Kyrie Irving,Duke,9,528,17827,11842,1955,3012,.466,.390,.877,33.8,22.4,3.7,5.7,61.3,.165,4.5,29.2
willide02,2,2011,MIN,Derrick Williams,Arizona,7,428,8864,3809,1693,293,.434,.300,.710,20.7,8.9,4.0,0.7,14.1,.076,-1.6,0.8
kanteen01,3,2011,UTA,Enes Kanter,,9,641,13932,7415,4867,546,.543,.287,.776,21.7,11.6,7.6,0.9,44.0,.151,-0.2,6.4
thomptr01,4,2011,CLE,Tristan Thompson,Texas,9,619,17372,5839,5393,624,.518,.281,.610,28.1,9.4,8.7,1.0,43.1,.119,-1.6,1.8
valanjo01,5,2011,TOR,Jonas Valančiūnas,,8,559,14146,6947,4952,522,.562,.355,.781,25.3,12.4,8.9,0.9,52.3,.177,0.8,9.9
veselja01,6,2011,WAS,Jan Veselý,,3,162,2455,590,562,96,.521,.000,.408,15.2,3.6,3.5,0.6,4.0,.078,-2.6,-0.4
biyombi01,7,2011,SAC,Bismack Biyombo,,9,636,12864,3273,3968,338,.520,.000,.575,20.2,5.1,6.2,0.5,25.3,.095,-2.6,-1.9
knighbr03,8,2011,DET,Brandon Knight,Kentucky,8,446,13137,6269,1377,1769,.411,.353,.806,29.5,14.1,3.1,4.0,11.5,.042,-1.6,1.5
walkeke02,9,2011,CHA,Kemba Walker,UConn,9,661,22349,13154,2534,3576,.419,.360,.837,33.8,19.9,3.8,5.4,54.4,.117,2.9,27.8
fredeji01,10,2011,MIL,Jimmer Fredette,BYU,6,241,3213,1438,243,331,.409,.372,.879,13.3,6.0,1.0,1.4,2.2,.033,-2.5,-0.4
thompkl01,11,2011,GSW,Klay Thompson,Washington State,8,615,20340,11995,2130,1416,.459,.419,.848,33.1,19.5,3.5,2.3,46.8,.110,0.7,14.2
burksal01,12,2011,UTA,Alec Burks,Colorado,9,495,10806,5082,1586,918,.422,.364,.791,21.8,10.3,3.2,1.9,16.7,.074,-1.1,2.5
morrima02,13,2011,PHO,Markieff Morris,Kansas,9,637,16226,7286,3403,1057,.448,.345,.778,25.5,11.4,5.3,1.7,25.2,.074,-1.3,3.0
morrima03,14,2011,HOU,Marcus Morris,Kansas,9,607,16390,7326,2825,914,.432,.367,.759,27.0,12.1,4.7,1.5,30.4,.089,-0.5,6.1
davisan02,1,2012,NOH,Anthony Davis,Kentucky,8,528,18239,12677,5483,1182,.515,.319,.802,34.5,24.0,10.4,2.2,83.1,.219,6.3,38.1
kiddgmi01,2,2012,CHA,Michael Kidd-Gilchrist,Kentucky,8,446,10978,3750,2420,515,.474,.272,.715,24.6,8.4,5.4,1.2,21.0,.092,-1.8,0.6
bealbr01,3,2012,WAS,Bradley Beal,Florida,8,545,18832,11425,2169,2171,.452,.380,.807,34.6,21.0,4.0,4.0,41.5,.106,1.6,17.0
waitedi01,4,2012,CLE,Dion Waiters,Syracuse,8,419,11835,5505,1108,1163,.412,.346,.694,28.2,13.1,2.6,2.8,8.8,.036,-2.1,-0.4
