,player,Year,pos,age,team_id,g,mp,per,ts_pct,fg3a_per_fga_pct,fta_per_fga_pct,orb_pct,drb_pct,trb_pct,ast_pct,stl_pct,blk_pct,tov_pct,usg_pct,ws-dum,ows,dws,ws,ws_per_48,bpm-dum,obpm,dbpm,bpm,vorp
bowiean01ORL,Anthony Bowie,1995,SG,31,ORL,77,1261,11.7,.532,.108,.198,5.1,7.5,6.3,17.3,1.9,1.1,17.7,16.6,,1.0,1.0,2.0,.077,,-1.8,-0.1,-1.9,0.0
bowiesa01LAL,Sam Bowie,1995,C,33,LAL,67,1225,10.4,.500,.041,.333,6.5,19.5,13.0,13.2,0.9,4.5,22.9,14.0,,-0.3,1.4,1.1,.044,,-3.8,1.4,-2.4,-0.1
bradlsh01PHI,Shawn Bradley,1995,C,22,PHI,82,2365,14.8,.489,.004,.335,11.9,20.7,16.2,3.7,1.2,8.5,15.2,17.7,,-0.1,3.6,3.5,.071,,-3.0,1.6,-1.4,0.3
brandte01CLE,Terrell Brandon,1995,PG,24,CLE,67,1961,18.7,.527,.159,.244,2.2,9.9,5.9,35.8,3.1,0.6,14.6,24.2,,2.6,3.0,5.6,.137,,2.2,1.6,3.8,2.8
breauti01HOU,Tim Breaux,1995,SF,24,HOU,42,340,8.9,.449,.207,.405,5.7,5.8,5.7,6.6,1.6,0.8,10.1,20.9,,-0.2,0.2,0.0,.000,,-3.7,-1.4,-5.0,-0.3
brooksc01TOT,Scott Brooks,1995,PG,29,TOT,59,808,14.9,.550,.251,.287,1.8,7.3,4.5,22.0,2.1,0.3,13.2,18.6,,1.3,0.5,1.9,.110,,-0.6,0.4,-0.2,0.4
brooksc01HOU,Scott Brooks,1995,PG,29,HOU,28,186,17.3,.647,.262,.323,0.6,7.1,4.0,19.3,2.2,0.4,15.9,21.3,,0.4,0.1,0.5,.139,,0.5,0.0,0.6,0.1
brooksc01DAL,Scott Brooks,1995,PG,29,DAL,31,622,14.1,.520,.248,.276,2.1,7.4,4.6,22.8,2.1,0.3,12.3,17.8,,0.9,0.4,1.3,.102,,-1.0,0.6,-0.4,0.3
brownch01HOU,Chucky Brown,1995,SF,26,HOU,41,814,12.4,.619,.017,.356,9.5,16.8,13.3,5.5,0.7,1.2,12.6,12.7,,1.3,0.8,2.1,.123,,-1.6,-0.8,-2.4,-0.1
brownde01BOS,Dee Brown,1995,SG,26,BOS,79,2792,15.7,.562,.335,.284,2.6,7.8,5.1,16.7,2.0,1.2,11.7,19.3,,5.0,1.8,6.8,.117,,1.8,0.3,2.1,2.9
brownmi01MIN,Mike Brown,1995,C,31,MIN,27,213,1.8,.337,.025,.675,5.2,20.5,13.0,7.1,1.7,0.0,23.6,14.6,,-0.6,0.2,-0.4,-0.097,,-8.6,-1.5,-10.1,-0.4
brownpj01NJN,P.J. Brown,1995,C,25,NJN,80,2466,12.1,.492,.042,.363,7.9,13.7,10.8,8.6,1.5,3.8,10.8,13.2,,1.7,2.9,4.6,.090,,-2.0,1.6,-0.5,0.9
brownra02SAC,Randy Brown,1995,PG,26,SAC,67,1086,11.8,.491,.164,.286,2.6,8.9,5.8,18.9,4.7,1.3,19.4,16.4,,-0.3,1.9,1.6,.071,,-3.7,4.2,0.4,0.6
bryanma01POR,Mark Bryant,1995,PF,29,POR,49,658,13.2,.555,.010,.328,9.0,19.1,13.8,6.4,1.5,1.8,15.1,16.6,,0.6,1.0,1.6,.116,,-2.5,1.2,-1.3,0.1
buechju01CHI,Jud Buechler,1995,SF,26,CHI,57,605,13.8,.542,.262,.213,7.0,12.1,9.6,12.6,2.1,1.5,13.0,16.9,,0.7,0.9,1.5,.122,,-0.3,0.6,0.3,0.4
burresc01CHH,Scott Burrell,1995,SF,24,CHH,65,2014,15.0,.571,.396,.243,5.9,15.3,10.8,12.6,2.0,1.4,11.5,17.0,,2.8,2.9,5.6,.135,,1.1,1.1,2.2,2.1
burtowi01PHI,Willie Burton,1995,SF,26,PHI,53,1564,13.9,.561,.454,.441,3.6,8.6,6.1,10.4,1.1,0.9,14.4,24.1,,1.9,0.6,2.6,.079,,0.8,-1.9,-1.1,0.4
butlemi02WSB,Mitchell Butler,1995,SG,24,WSB,76,1554,10.0,.506,.278,.364,3.1,9.8,6.3,8.8,2.0,0.5,15.2,19.6,,-0.5,0.8,0.3,.010,,-2.9,-0.7,-3.6,-0.6
cagemi01CLE,Michael Cage,1995,C,33,CLE,82,2040,13.5,.537,.006,.259,12.1,22.8,17.3,4.5,1.7,2.6,12.9,10.2,,2.1,3.7,5.8,.137,,-1.0,1.2,0.2,1.1
caldwad01HOU,Adrian Caldwell,1995,PF,28,HOU,7,30,4.4,.377,.000,1.500,4.0,32.8,19.1,0.0,1.7,0.0,13.1,11.4,,0.0,0.1,0.0,.020,,-7.8,0.7,-7.2,0.0
